Event Type,Attendees,Expenses,Success
Sports,853,35012,0
Cultural,670,159726,1
Cultural,1113,176284,1
Sports,1074,218188,1
Seminars,1013,192829,1
Cultural,1155,59090,1
Sports,983,106178,1
Cultural,385,75390,1
Seminars,1011,92669,1
Cultural,399,19903,0
Cultural,1285,159359,1
Cultural,1269,249764,1
Cultural,301,74956,1
Sports,431,50524,1
Seminars,139,3086,0
Sports,839,115288,1
Seminars,977,137475,1
Sports,848,82126,1
Sports,665,105733,1
Cultural,380,46360,1
Cultural,484,42382,1
Sports,1277,122267,1
Seminars,1175,74878,1
Sports,1223,34097,0
Cultural,966,169143,1
Cultural,442,23523,1
Sports,452,112634,1
Cultural,105,10585,1
Sports,840,131627,1
Cultural,1196,244736,1
Sports,457,109831,1
Seminars,1242,106485,1
Seminars,289,22512,1
Cultural,516,10137,0
Sports,353,67901,1
Cultural,935,56629,1
Seminars,1405,36529,0
Cultural,257,21490,1
Cultural,433,105762,1
Sports,551,32529,1
Sports,1169,53479,0
Cultural,408,31580,1
Sports,954,221822,1
Seminars,1311,240368,1
Seminars,696,83965,1
Sports,1499,10101,0
Seminars,1301,89732,1
Cultural,1138,7295,0
Sports,560,61411,1
Cultural,1052,88243,1
Sports,868,28969,0
Cultural,102,10270,1
Cultural,681,124381,1
Seminars,232,20230,1
Seminars,740,76620,1
Seminars,1423,142974,1
Sports,738,18632,0
Seminars,1146,70776,1
Cultural,1256,9249,0
Cultural,620,64797,1
Cultural,1424,235262,1
Seminars,1138,226383,1
Sports,1170,207214,1
Sports,1044,45287,0
Cultural,1116,41932,0
Seminars,1448,164186,1
Seminars,952,199316,1
Sports,262,43640,1
Seminars,242,52750,1
Seminars,665,139564,1
Sports,357,3063,0
Cultural,1053,39762,0
Sports,520,23785,0
Sports,694,154782,1
Cultural,330,64784,1
Seminars,1449,36682,0
Sports,1137,129448,1
Seminars,1186,42965,0
Cultural,1052,134109,1
Sports,1335,185397,1
Seminars,288,16980,1
Seminars,619,110466,1
Seminars,451,109874,1
Sports,294,43377,1
Seminars,135,31685,1
Cultural,185,41885,1
Cultural,1172,23028,0
Seminars,720,134369,1
Cultural,1418,116718,1
Cultural,1311,175167,1
Sports,669,56921,1
Sports,478,58051,1
Seminars,216,35162,1
Seminars,1448,8434,0
Seminars,484,74936,1
Seminars,1062,11615,0
Seminars,232,42165,1
Sports,1468,53266,0
Cultural,169,27550,1
Sports,650,28147,0
Seminars,600,97562,1
Seminars,461,18234,0
Seminars,558,76191,1
Sports,215,10807,1
Seminars,564,23447,0
Cultural,356,61427,1
Sports,1044,204029,1
Sports,1117,41777,0
Cultural,1342,128471,1
Cultural,1228,139262,1
Seminars,104,6149,1
Sports,1008,38492,0
Cultural,161,7162,0
Sports,311,64564,1
Seminars,1321,168207,1
Sports,1227,115116,1
Cultural,973,39807,0
Sports,961,113824,1
Cultural,852,119807,1
Seminars,1209,157536,1
Seminars,210,2301,0
Seminars,1151,64855,1
Seminars,1036,71347,1
Seminars,535,85646,1
Cultural,1193,150628,1
Sports,1476,156941,1
Cultural,135,5007,0
Cultural,831,126337,1
Cultural,654,161239,1
Seminars,1483,193055,1
Sports,995,51677,1
Cultural,920,60601,1
Seminars,1110,48206,0
Seminars,389,34735,1
Sports,147,25529,1
Sports,924,127230,1
Sports,495,54554,1
Seminars,930,94916,1
Seminars,117,7968,1
Cultural,1334,242202,1
Sports,457,85013,1
Cultural,470,22347,0
Sports,766,145017,1
Sports,1212,125746,1
Seminars,1286,173232,1
Sports,1147,135038,1
Seminars,1172,156915,1
Sports,1435,211959,1
Sports,593,5280,0
Sports,533,25414,0
Sports,505,77495,1
Cultural,289,48277,1
Sports,140,15623,1
Seminars,402,99027,1
Cultural,767,47941,1
Seminars,614,19802,0
Seminars,719,60258,1
Seminars,514,82270,1
Seminars,146,2085,0
Seminars,754,7710,0
Seminars,1379,155582,1
Seminars,206,45651,1
Sports,307,3428,0
Sports,766,150657,1
Sports,379,41796,1
Cultural,1051,29712,0
Seminars,816,99740,1
Sports,472,106075,1
Cultural,1364,88044,1
Sports,1173,117515,1
Seminars,841,96476,1
Seminars,797,192060,1
Cultural,1448,154408,1
Cultural,630,71580,1
Cultural,775,132515,1
Seminars,302,32591,1
Seminars,1105,218849,1
Seminars,723,28130,0
Seminars,379,41579,1
Seminars,669,122365,1
Cultural,545,74102,1
Sports,490,30104,1
Cultural,985,100481,1
Seminars,1119,32659,0
Cultural,729,78099,1
Sports,365,13181,0
Sports,974,105815,1
Cultural,338,41231,1
Cultural,1352,9765,0
Cultural,1094,78942,1
Cultural,1333,31947,0
Cultural,1255,239144,1
Cultural,1350,66178,0
Seminars,239,47820,1
Sports,1160,177705,1
Sports,317,22671,1
Cultural,1393,83034,1
Cultural,988,86372,1
Cultural,1414,148394,1
Cultural,1182,208828,1
Cultural,1334,12455,0
Sports,654,24156,0
Sports,383,88245,1
Cultural,782,105768,1
Cultural,376,90344,1
Seminars,1274,56219,0
Sports,104,16842,1
Seminars,1416,74450,1
Sports,742,26089,0
Sports,573,87477,1
Cultural,393,35304,1
Cultural,549,90978,1
Sports,700,162582,1
Cultural,215,27699,1
Sports,1299,77435,1
Sports,702,84504,1
Cultural,873,183828,1
Cultural,607,136237,1
Cultural,175,25613,1
Sports,544,66954,1
Sports,574,18073,0
Seminars,796,146325,1
Seminars,309,64607,1
Cultural,1050,97459,1
